# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-09-02
#
# GRDC-No.:              2316200
# River:                 SYR DARYA
# Station:               TYUMEN-ARYK
# Country:               KZ
# Latitude (DD):       44.05
# Longitude (DD):      67.05
# Catchment area (km²):      219000.0
# Altitude (m ASL):        156.0
# Next downstream station:      -
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1930 - 1986
# No. of years:          57
# Last update:           2018-05-29
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 684
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1930-01-01;--:--;    467.000;   -999.000;   0
1930-02-01;--:--;    495.000;   -999.000;   0
1930-03-01;--:--;    650.000;   -999.000;   0
1930-04-01;--:--;    781.000;   -999.000;   0
1930-05-01;--:--;   1030.000;   -999.000;   0
1930-06-01;--:--;   1340.000;   -999.000;   0
1930-07-01;--:--;   1310.000;   -999.000;   0
1930-08-01;--:--;    693.000;   -999.000;   0
1930-09-01;--:--;    378.000;   -999.000;   0
1930-10-01;--:--;    412.000;   -999.000;   0
1930-11-01;--:--;    482.000;   -999.000;   0
1930-12-01;--:--;    462.000;   -999.000;   0
1931-01-01;--:--;    468.000;   -999.000;   0
1931-02-01;--:--;    440.000;   -999.000;   0
1931-03-01;--:--;    554.000;   -999.000;   0
1931-04-01;--:--;    997.000;   -999.000;   0
1931-05-01;--:--;   1050.000;   -999.000;   0
1931-06-01;--:--;   1540.000;   -999.000;   0
1931-07-01;--:--;   1730.000;   -999.000;   0
1931-08-01;--:--;   1080.000;   -999.000;   0
1931-09-01;--:--;    648.000;   -999.000;   0
1931-10-01;--:--;    504.000;   -999.000;   0
1931-11-01;--:--;    491.000;   -999.000;   0
1931-12-01;--:--;    526.000;   -999.000;   0
1932-01-01;--:--;    445.000;   -999.000;   0
1932-02-01;--:--;    434.000;   -999.000;   0
1932-03-01;--:--;    623.000;   -999.000;   0
1932-04-01;--:--;    797.000;   -999.000;   0
1932-05-01;--:--;    846.000;   -999.000;   0
1932-06-01;--:--;   1220.000;   -999.000;   0
1932-07-01;--:--;    767.000;   -999.000;   0
1932-08-01;--:--;    484.000;   -999.000;   0
1932-09-01;--:--;    311.000;   -999.000;   0
1932-10-01;--:--;    359.000;   -999.000;   0
1932-11-01;--:--;    408.000;   -999.000;   0
1932-12-01;--:--;    347.000;   -999.000;   0
1933-01-01;--:--;    322.000;   -999.000;   0
1933-02-01;--:--;    381.000;   -999.000;   0
1933-03-01;--:--;    542.000;   -999.000;   0
1933-04-01;--:--;    745.000;   -999.000;   0
1933-05-01;--:--;    993.000;   -999.000;   0
1933-06-01;--:--;   1110.000;   -999.000;   0
1933-07-01;--:--;    761.000;   -999.000;   0
1933-08-01;--:--;    465.000;   -999.000;   0
1933-09-01;--:--;    371.000;   -999.000;   0
1933-10-01;--:--;    326.000;   -999.000;   0
1933-11-01;--:--;    365.000;   -999.000;   0
1933-12-01;--:--;    380.000;   -999.000;   0
1934-01-01;--:--;    375.000;   -999.000;   0
1934-02-01;--:--;    502.000;   -999.000;   0
1934-03-01;--:--;    599.000;   -999.000;   0
1934-04-01;--:--;    812.000;   -999.000;   0
1934-05-01;--:--;   1220.000;   -999.000;   0
1934-06-01;--:--;   2240.000;   -999.000;   0
1934-07-01;--:--;   1870.000;   -999.000;   0
1934-08-01;--:--;   1080.000;   -999.000;   0
1934-09-01;--:--;    583.000;   -999.000;   0
1934-10-01;--:--;    582.000;   -999.000;   0
1934-11-01;--:--;    580.000;   -999.000;   0
1934-12-01;--:--;    498.000;   -999.000;   0
1935-01-01;--:--;    337.000;   -999.000;   0
1935-02-01;--:--;    532.000;   -999.000;   0
1935-03-01;--:--;    640.000;   -999.000;   0
1935-04-01;--:--;    696.000;   -999.000;   0
1935-05-01;--:--;   1190.000;   -999.000;   0
1935-06-01;--:--;   1350.000;   -999.000;   0
1935-07-01;--:--;   1180.000;   -999.000;   0
1935-08-01;--:--;    705.000;   -999.000;   0
1935-09-01;--:--;    443.000;   -999.000;   0
1935-10-01;--:--;    464.000;   -999.000;   0
1935-11-01;--:--;    572.000;   -999.000;   0
1935-12-01;--:--;    584.000;   -999.000;   0
1936-01-01;--:--;   -999.000;   -999.000;   6
1936-02-01;--:--;   -999.000;   -999.000;  24
1936-03-01;--:--;    546.000;    545.774; 100
1936-04-01;--:--;    870.000;    870.300; 100
1936-05-01;--:--;   1380.000;   1360.258; 100
1936-06-01;--:--;   2180.000;   2177.333; 100
1936-07-01;--:--;   1020.000;   1015.226; 100
1936-08-01;--:--;    658.000;    667.903; 100
1936-09-01;--:--;    525.000;    525.333; 100
1936-10-01;--:--;    546.000;    545.032; 100
1936-11-01;--:--;   -999.000;   -999.000;  20
1936-12-01;--:--;   -999.000;   -999.000;   0
1937-01-01;--:--;   -999.000;   -999.000;  55
1937-02-01;--:--;    514.000;    513.679; 100
1937-03-01;--:--;    547.000;    546.677; 100
1937-04-01;--:--;    593.000;    591.900; 100
1937-05-01;--:--;    983.000;    986.516; 100
1937-06-01;--:--;   1110.000;   1111.167; 100
1937-07-01;--:--;    958.000;    958.258; 100
1937-08-01;--:--;    521.000;    521.161; 100
1937-09-01;--:--;    321.000;    321.100; 100
1937-10-01;--:--;    368.000;    367.774; 100
1937-11-01;--:--;   -999.000;   -999.000;  43
1937-12-01;--:--;   -999.000;   -999.000;   0
1938-01-01;--:--;   -999.000;   -999.000;   0
1938-02-01;--:--;   -999.000;   -999.000;   0
1938-03-01;--:--;   -999.000;   -999.000;  29
1938-04-01;--:--;    654.000;    657.667; 100
1938-05-01;--:--;    801.000;    800.710; 100
1938-06-01;--:--;    557.000;    553.867; 100
1938-07-01;--:--;    340.000;    339.581; 100
1938-08-01;--:--;    319.000;    319.355; 100
1938-09-01;--:--;    250.000;    249.667; 100
1938-10-01;--:--;    309.000;    308.516; 100
1938-11-01;--:--;   -999.000;    360.885;  87
1938-12-01;--:--;   -999.000;   -999.000;   0
1939-01-01;--:--;   -999.000;   -999.000;   0
1939-02-01;--:--;   -999.000;   -999.000;   0
1939-03-01;--:--;    390.000;    390.129; 100
1939-04-01;--:--;    498.000;    497.500; 100
1939-05-01;--:--;    957.000;    956.645; 100
1939-06-01;--:--;    670.000;    670.800; 100
1939-07-01;--:--;    510.000;    509.710; 100
1939-08-01;--:--;    360.000;    359.774; 100
1939-09-01;--:--;    280.000;    279.567; 100
1939-10-01;--:--;    275.000;    274.419; 100
1939-11-01;--:--;    368.000;    368.833; 100
1939-12-01;--:--;    395.000;    395.000; 100
1940-01-01;--:--;    369.000;    368.935; 100
1940-02-01;--:--;    385.000;    385.034; 100
1940-03-01;--:--;    420.000;    420.194; 100
1940-04-01;--:--;    403.000;    402.933; 100
1940-05-01;--:--;    386.000;    385.516; 100
1940-06-01;--:--;   1090.000;   1086.200; 100
1940-07-01;--:--;    722.000;    722.129; 100
1940-08-01;--:--;    350.000;    349.806; 100
1940-09-01;--:--;    212.000;    211.500; 100
1940-10-01;--:--;    268.000;    268.355; 100
1940-11-01;--:--;    448.000;    448.200; 100
1940-12-01;--:--;    433.000;    433.065; 100
1941-01-01;--:--;   -999.000;   -999.000;   0
1941-02-01;--:--;    459.000;   -999.000;  39
1941-03-01;--:--;    568.000;    567.710; 100
1941-04-01;--:--;    918.000;    917.800; 100
